pattern,platform,scenario,n_requests,mean_cost_units,mean_model_invocations,mean_tokens_in,mean_tokens_out,mean_service_calls,total_cost_units
P1,agentforce,S1,500,2.8000000000000003,5.0,3000.0,1250.0,3.0,1400.0000000000002
P1,agentforce,S2,500,5.3451999999999975,9.242,8582.4,3576.0,7.242,2672.5999999999985
P1,agentforce,S3,500,2.8000000000000003,5.0,3600.0,1500.0,3.0,1400.0000000000002
P1,bedrock,S1,500,0.028148094000000002,5.0,3132.698,1250.0,0.0,14.074047
P1,bedrock,S2,500,0.081505494,9.152,9480.998,3537.5,0.0,40.752747
P1,bedrock,S3,500,0.03378174,5.0,3760.58,1500.0,0.0,16.89087
P2,agentforce,S1,500,0.6,1.0,600.0,250.0,1.0,300.0
P2,agentforce,S2,500,3.676799999999999,6.128,3676.8,1532.0,6.128,1838.3999999999996
P2,agentforce,S3,500,1.2000000000000002,2.0,1200.0,500.0,2.0,600.0000000000001
P2,bedrock,S1,500,0.005576189999999973,1.0,608.73,250.0,0.0,2.7880949999999864
P2,bedrock,S2,500,0.033865074,6.008,3778.358,1502.0,0.0,16.932537
P2,bedrock,S3,500,0.01115094,2.0,1216.98,500.0,0.0,5.57547
P3,agentforce,S1,500,1.6000029999999998,3.0,1800.0,750.0,4.0,800.0015
P3,agentforce,S2,500,2.0964030000000005,3.0,4778.4,1991.0,8.964,1048.2015000000001
P3,agentforce,S3,500,1.700003,3.0,2400.0,1000.0,5.0,850.0015
P3,bedrock,S1,500,0.0166955999999999,3.0,1815.0,750.0,3.0,8.34779999999995
P3,bedrock,S2,500,0.04438703999999996,3.0,4825.48,1994.0,3.0,22.19351999999998
P3,bedrock,S3,500,0.0222605999999999,3.0,2420.0,1000.0,3.0,11.13029999999995
P4,agentforce,S1,500,1.8000015000000005,3.0,1800.0,750.0,6.0,900.0007500000003
P4,agentforce,S2,500,2.220601500000001,3.0,4323.6,1801.5,10.206,1110.3007500000003
P4,agentforce,S3,500,1.8000015000000005,3.0,1800.0,750.0,6.0,900.0007500000003
P4,bedrock,S1,500,0.016726,3.0,1824.0,750.0,8.0,8.363000000000001
P4,bedrock,S2,500,0.040437796,3.0,4410.432,1813.5,8.0,20.218898
P4,bedrock,S3,500,0.016726,3.0,1824.0,750.0,8.0,8.363000000000001
P5,agentforce,S1,500,0.7999999999999999,1.0,600.0,250.0,3.0,399.99999999999994
P5,agentforce,S2,500,1.1018,1.0,3610.8,1504.5,6.018,550.9
P5,agentforce,S3,500,0.7999999999999999,1.0,1200.0,500.0,3.0,399.99999999999994
P5,bedrock,S1,500,0.00558144,1.0,604.98,250.0,6.0,2.79072
P5,bedrock,S2,500,0.0337791819999999,1.0,3668.61,1516.0,12.128,16.88959099999995
P5,bedrock,S3,500,0.011146380000000001,1.0,1209.96,500.0,6.0,5.57319
P6,agentforce,S1,500,0.600000396,1.0,600.0,250.0,1.198,300.000198
P6,agentforce,S2,500,1.1024004399999998,1.0,3614.4,1506.0,6.244,551.20022
P6,agentforce,S3,500,0.700000228,1.0,1200.0,500.0,2.114,350.000114
P6,bedrock,S1,500,0.00632635599999996,1.0,608.72,250.0,1.196,3.16317799999998
P6,bedrock,S2,500,0.034128665999999995,1.0,3628.654,1499.5,1.204,17.064332999999998
P6,bedrock,S3,500,0.011874141999999999,1.0,1208.0,500.0,1.142,5.9370709999999995
P7,agentforce,S1,500,0.6,1.0,600.0,250.0,1.0,300.0
P7,agentforce,S2,500,1.0985999999999998,1.0,3591.6,1496.5,5.986,549.3
P7,agentforce,S3,500,0.7,1.0,1200.0,500.0,2.0,350.0
P7,bedrock,S1,500,0.005576117999999974,1.0,608.706,250.0,0.0,2.7880589999999867
P7,bedrock,S2,500,0.033111378,1.0,3599.626,1487.5,0.0,16.555688999999997
P7,bedrock,S3,500,0.011124,1.0,1208.0,500.0,0.0,5.562
