variant,pattern,scenario,fit_grade
baseline,P1,S1,Weak
baseline,P1,S2,Moderate
baseline,P1,S3,Moderate
baseline,P2,S1,Strong
baseline,P2,S2,Weak
baseline,P2,S3,Weak
baseline,P3,S1,Weak
baseline,P3,S2,Moderate
baseline,P3,S3,Strong
baseline,P4,S1,Weak
baseline,P4,S2,Strong
baseline,P4,S3,Moderate
baseline,P5,S1,Moderate
baseline,P5,S2,Moderate
baseline,P5,S3,Weak
baseline,P6,S1,Moderate
baseline,P6,S2,Moderate
baseline,P6,S3,Strong
baseline,P7,S1,Moderate
baseline,P7,S2,Weak
baseline,P7,S3,Weak
n250,P1,S1,Weak
n250,P1,S2,Moderate
n250,P1,S3,Moderate
n250,P2,S1,Strong
n250,P2,S2,Weak
n250,P2,S3,Weak
n250,P3,S1,Weak
n250,P3,S2,Moderate
n250,P3,S3,Strong
n250,P4,S1,Weak
n250,P4,S2,Strong
n250,P4,S3,Moderate
n250,P5,S1,Moderate
n250,P5,S2,Moderate
n250,P5,S3,Weak
n250,P6,S1,Moderate
n250,P6,S2,Moderate
n250,P6,S3,Strong
n250,P7,S1,Moderate
n250,P7,S2,Weak
n250,P7,S3,Moderate
n1000,P1,S1,Weak
n1000,P1,S2,Moderate
n1000,P1,S3,Moderate
n1000,P2,S1,Strong
n1000,P2,S2,Weak
n1000,P2,S3,Weak
n1000,P3,S1,Weak
n1000,P3,S2,Moderate
n1000,P3,S3,Strong
n1000,P4,S1,Weak
n1000,P4,S2,Strong
n1000,P4,S3,Moderate
n1000,P5,S1,Moderate
n1000,P5,S2,Moderate
n1000,P5,S3,Weak
n1000,P6,S1,Moderate
n1000,P6,S2,Moderate
n1000,P6,S3,Strong
n1000,P7,S1,Moderate
n1000,P7,S2,Weak
n1000,P7,S3,Moderate
n2000,P1,S1,Weak
n2000,P1,S2,Moderate
n2000,P1,S3,Moderate
n2000,P2,S1,Strong
n2000,P2,S2,Weak
n2000,P2,S3,Weak
n2000,P3,S1,Weak
n2000,P3,S2,Moderate
n2000,P3,S3,Strong
n2000,P4,S1,Weak
n2000,P4,S2,Strong
n2000,P4,S3,Moderate
n2000,P5,S1,Moderate
n2000,P5,S2,Moderate
n2000,P5,S3,Weak
n2000,P6,S1,Moderate
n2000,P6,S2,Moderate
n2000,P6,S3,Strong
n2000,P7,S1,Moderate
n2000,P7,S2,Weak
n2000,P7,S3,Moderate
n5000,P1,S1,Weak
n5000,P1,S2,Moderate
n5000,P1,S3,Moderate
n5000,P2,S1,Strong
n5000,P2,S2,Weak
n5000,P2,S3,Weak
n5000,P3,S1,Weak
n5000,P3,S2,Moderate
n5000,P3,S3,Strong
n5000,P4,S1,Weak
n5000,P4,S2,Strong
n5000,P4,S3,Moderate
n5000,P5,S1,Moderate
n5000,P5,S2,Moderate
n5000,P5,S3,Weak
n5000,P6,S1,Moderate
n5000,P6,S2,Moderate
n5000,P6,S3,Strong
n5000,P7,S1,Moderate
n5000,P7,S2,Weak
n5000,P7,S3,Weak
rho050,P1,S1,Weak
rho050,P1,S2,Moderate
rho050,P1,S3,Moderate
rho050,P2,S1,Strong
rho050,P2,S2,Weak
rho050,P2,S3,Weak
rho050,P3,S1,Weak
rho050,P3,S2,Moderate
rho050,P3,S3,Strong
rho050,P4,S1,Weak
rho050,P4,S2,Strong
rho050,P4,S3,Moderate
rho050,P5,S1,Moderate
rho050,P5,S2,Moderate
rho050,P5,S3,Weak
rho050,P6,S1,Moderate
rho050,P6,S2,Moderate
rho050,P6,S3,Strong
rho050,P7,S1,Moderate
rho050,P7,S2,Weak
rho050,P7,S3,Moderate
rho060,P1,S1,Weak
rho060,P1,S2,Moderate
rho060,P1,S3,Moderate
rho060,P2,S1,Strong
rho060,P2,S2,Weak
rho060,P2,S3,Weak
rho060,P3,S1,Weak
rho060,P3,S2,Moderate
rho060,P3,S3,Strong
rho060,P4,S1,Weak
rho060,P4,S2,Strong
rho060,P4,S3,Moderate
rho060,P5,S1,Moderate
rho060,P5,S2,Moderate
rho060,P5,S3,Weak
rho060,P6,S1,Moderate
rho060,P6,S2,Moderate
rho060,P6,S3,Strong
rho060,P7,S1,Moderate
rho060,P7,S2,Weak
rho060,P7,S3,Moderate
rho080,P1,S1,Weak
rho080,P1,S2,Strong
rho080,P1,S3,Moderate
rho080,P2,S1,Strong
rho080,P2,S2,Weak
rho080,P2,S3,Weak
rho080,P3,S1,Weak
rho080,P3,S2,Moderate
rho080,P3,S3,Strong
rho080,P4,S1,Weak
rho080,P4,S2,Strong
rho080,P4,S3,Moderate
rho080,P5,S1,Moderate
rho080,P5,S2,Moderate
rho080,P5,S3,Weak
rho080,P6,S1,Moderate
rho080,P6,S2,Moderate
rho080,P6,S3,Strong
rho080,P7,S1,Moderate
rho080,P7,S2,Weak
rho080,P7,S3,Moderate
