pattern,platform,scenario,n,p50_ms,p50_ci_lo,p50_ci_hi,p95_ms,p95_ci_lo,p95_ci_hi,p99_ms,p99_ci_lo,p99_ci_hi,error_rate,throughput_rps,cost_per_request
P1,agentforce,S1,500,5880.006894751432,5674.437292727021,6153.721187362746,10925.93417723179,10344.941762224284,11726.937346479983,13437.555948777623,12493.194024257866,14929.541740957347,0.0,0.6228966508055691,2.8
P1,agentforce,S2,500,9339.640689723132,8965.594784305049,9666.377185555539,19908.99133179546,18625.724759946766,21045.361687519642,24359.458744764244,23809.73651197337,25816.96402018986,0.0,0.4142407401401761,5.3451999999999975
P1,agentforce,S3,500,6233.5972523484315,5939.605609510636,6714.532151607425,16007.723660257338,14882.273599276654,17311.953741264857,19524.502348803107,18391.38976230644,21439.082380532112,0.0,0.4787995273975948,2.8
P1,bedrock,S1,500,4544.920988437454,4370.861741092213,4661.813504684447,7966.916246854744,7706.406922339674,8364.457285296548,10194.485053869112,8944.438315118738,12052.927391342848,0.0,0.6564395023515849,0.028148094000000002
P1,bedrock,S2,500,6690.154986840213,6495.089217050035,6875.266052957962,10994.074729106267,10458.671540527257,11440.065121102143,12599.30555983156,11996.611061472777,13640.0994395279,0.0,0.47862701804127955,0.081505494
P1,bedrock,S3,500,6000.9226301443305,5619.226201174144,6345.334582202344,15505.453287570605,14150.586146481286,16351.191281285195,17696.971442063725,16987.983712199733,18986.45619002445,0.0,0.6603563186195929,0.03378174
P2,agentforce,S1,500,1607.283773844081,1533.1180138271918,1663.1648910503252,3220.6296262869173,3017.618410395999,3543.5082760018445,4550.586570389027,4004.398579789923,5343.16778594308,0.0,1.7056796802011818,0.5999999999999999
P2,agentforce,S2,500,10800.197225277592,10364.5699730979,11170.432148391228,19543.108986510168,18114.837921416063,20769.22230330183,23302.34297954459,21954.014369241064,25751.954344069876,0.0,0.3082225666654288,3.676799999999999
P2,agentforce,S3,500,6374.549692321963,5911.646074584496,7000.38814317378,19320.093514746757,17809.439395970483,20399.171076624083,23795.666543757823,21757.574730849432,25664.423675578648,0.0,0.8652078272306675,1.1999999999999997
P2,bedrock,S1,500,1259.8805631989267,1191.089827576576,1362.184890740193,2814.731992766612,2608.8186369005252,3072.784544292884,3773.559223045767,3409.9264869471817,4257.553646212642,0.0,2.3850790553343177,0.005576189999999973
P2,bedrock,S2,500,8313.390434208628,7982.674349194926,8580.826448861444,14719.272283840684,13578.374406247163,15739.8917288358,18598.959134985384,16499.759988940907,19905.662795952707,0.0,0.3756094861700835,0.033865073999999995
P2,bedrock,S3,500,3796.4047275978173,3473.409533089386,4087.976085264126,11640.665192655259,10914.851984169532,12269.91279920074,13986.425207104328,13165.608430265707,15737.953038170332,0.0,0.9535132444709813,0.011150939999999998
P3,agentforce,S1,500,4243.369801248804,4156.911282587508,4382.435675855934,6516.790768966046,6129.400031888239,6804.76159438058,7418.20017176997,7054.363306774271,8512.543047383588,0.0,0.6384556905873661,1.6000029999999998
P3,agentforce,S2,500,5052.230947592336,4951.124525159088,5199.5079781491995,7287.372682227922,6839.135406169308,7692.7208856809,8270.564053424818,8064.515465096927,8704.030868736765,0.0,0.5792922038460971,2.0964030000000005
P3,agentforce,S3,500,4356.998593077435,4255.974108556757,4453.0379417176955,6273.251071062844,6049.679201361697,6658.706176854253,7663.432125266951,7007.820401785856,8703.438462889608,0.0,0.4449405340425354,1.700003
P3,bedrock,S1,500,3518.9437979299782,3444.926994857326,3631.883661794831,5549.570081872608,5345.735950743226,5794.120180837894,6811.961390268723,6090.903839585482,7302.222031289261,0.0,0.7469113100466456,0.016695599999999897
P3,bedrock,S2,500,3483.251907172871,3400.408015969695,3607.123539730853,5685.202883380761,5466.926527831838,6208.360393667029,6847.015877313168,6554.197401442244,7070.459125250409,0.0,0.8123372605362168,0.044387039999999954
P3,bedrock,S3,500,3519.633318766182,3420.1513500386227,3594.997913768111,5356.958589998262,5186.106421085051,5671.318282950714,7124.730090663048,6496.9558279686335,8741.946576580605,0.0,0.7038278672156497,0.022260599999999905
P4,agentforce,S1,500,6368.423328190971,6057.4555985335055,6606.2393422782525,16936.283184466127,15473.332550750114,18694.37941204838,20062.070331219387,19364.885089396525,21265.922844081444,0.0,0.5674670965538771,1.8000015000000005
P4,agentforce,S2,500,9542.829782833905,8835.496270300097,10025.299245469228,20650.454728660734,20048.332127165624,21723.887784270046,24247.83096671281,22890.79580559463,26287.71992688837,0.0,0.5329413768758051,2.220601500000001
P4,agentforce,S3,500,10562.564939243402,9567.53236401687,11612.283554721726,23431.858375560863,22163.79120344706,24455.11725376165,28288.83311446589,25322.775177452913,33150.26156788515,0.0,0.5356179119013175,1.8000015000000005
P4,bedrock,S1,500,5246.598361690048,5042.136723012536,5507.720063346112,10597.624604841612,10077.724249003679,11456.632963417811,12450.315471609476,12036.63674325742,13777.66407267967,0.0,0.6508262775701213,0.016725999999999998
P4,bedrock,S2,500,5011.490551630075,4835.600195163188,5240.100165212772,10668.732999547883,10174.134974900015,11473.461572172253,12359.21545484675,11928.977500721667,13218.136040383257,0.0,0.6639547700165498,0.040437796000000005
P4,bedrock,S3,500,9879.413117977918,9105.578769620712,10690.336187475708,22243.64215826339,21321.95049236998,23473.223992223273,25886.049827309933,25417.555179953477,27416.678668612432,0.0,0.7022908513282099,0.016725999999999998
P5,agentforce,S1,500,2068.5614415436216,1948.274778001725,2173.9866036913954,3925.252780336851,3745.982756526956,4382.382945583404,5165.317696507857,4532.962950349621,6023.831410356052,0.0,1.4319373518059964,0.8
P5,agentforce,S2,500,2608.7571264483954,2484.0098116175473,2708.226038446611,6262.96571929795,5546.897280560376,6754.494563910816,7861.195382237771,7630.933647012782,8512.821177704851,0.0,1.2231600568639527,1.1018000000000001
P5,agentforce,S3,500,5643.563926695777,5041.250090942037,6029.2663826455455,13888.773672547257,13458.67760069187,15494.572942001272,17320.917682810305,16351.443584317147,18380.801825536462,0.0,1.574888360199811,0.8
P5,bedrock,S1,500,1818.281573341757,1732.7044055820124,1919.7013849900793,3338.6176875246524,3159.407410169507,3758.76830723944,4209.539622311745,4099.255928696834,5193.493776939789,0.0,1.5961706614152968,0.005581440000000002
P5,bedrock,S2,500,3984.8424874623447,3691.188776947215,4304.231988626341,9945.783237290625,9480.784580464533,10550.753370327777,11196.141681551553,10768.578654679948,12188.22110310981,0.0,1.5774133799510317,0.0337791819999999
P5,bedrock,S3,500,6083.729150408509,5402.448771746549,6597.284556192184,15238.721304666386,14541.988567510443,15779.219579375209,17873.980407514973,16620.247663304235,18631.68618310506,0.0,1.8744139647637716,0.011146380000000003
P6,agentforce,S1,500,1997.884946432393,1856.7658874520762,2155.825147907368,42481.17010470088,37817.27902628377,48493.16723408409,62813.39665027811,56249.62911021121,81530.76534919947,0.0,1.6823875583040955,0.6000003959999999
P6,agentforce,S2,500,3001.848319050431,2870.3053603841227,3217.887853002741,48112.38862825971,44272.76858980971,55298.607096568216,77466.36335811425,59914.24983218389,100530.8786463384,0.0,1.1045186942269323,1.1024004399999998
P6,agentforce,S3,500,4681.078941275373,4089.711365174622,5322.151618621889,38808.72935532962,33099.793187022864,46557.927741002575,58318.83151975714,51735.3549784723,100987.55554449857,0.0,1.2300427661885098,0.7000002279999998
P6,bedrock,S1,500,1628.0943015204343,1487.091696439272,1794.6859594789544,43342.24109730219,37204.061658237944,46381.65758686788,61892.326705665975,52709.59890420299,77302.49859054701,0.0,1.9203516852244258,0.00632635599999996
P6,bedrock,S2,500,1767.6029598378304,1679.9297700655557,1965.099436874592,45041.28157684826,39959.115335081384,52931.37751312891,81918.73806235033,57807.748228692915,95059.65179633503,0.0,1.730255640056205,0.034128665999999995
P6,bedrock,S3,500,7331.194261754654,6552.399491513625,8163.2286424822805,43587.33415333714,38523.43374421145,54965.45010015784,64814.049389278676,59212.67928573266,78247.90445788797,0.0,1.876992107830722,0.011874141999999997
P7,agentforce,S1,500,3073.010151351127,2942.21630227004,3213.2728674265254,5551.355023824274,5342.51149102027,5777.706385863951,6790.668649282663,6285.630917117597,7528.293562277269,0.0,0.8860133508419503,0.5999999999999999
P7,agentforce,S2,500,4106.955571489805,3987.450725647946,4327.1159950603815,7214.4804249369145,6871.093358314795,7545.104351489154,8815.60021871671,8451.706463843078,10774.643989167656,0.0,0.7837081449910829,1.0986000000000002
P7,agentforce,S3,500,5106.552303878999,4821.679729700694,5600.375018944277,12588.503569448041,11733.441590434835,13570.076465940816,16548.397373293956,14684.120177172357,17396.992375215206,0.0,0.8285008448922453,0.7
P7,bedrock,S1,500,3195.8775080014448,3036.166228836024,3329.0916125492413,5525.491780768832,5304.626701250485,5728.566481853794,6436.563218353069,5927.222725418984,6962.877184906688,0.0,0.9999009494636323,0.005576117999999973
P7,bedrock,S2,500,3360.415301975479,3214.090661397273,3499.77310203209,6693.659855455038,6220.948744187752,7579.111774952256,8241.443602743951,7998.156707963965,9181.686820430456,0.0,0.9957611955648248,0.033111378000000004
P7,bedrock,S3,500,4422.29224536009,4020.4067845550353,4912.750825804665,12417.825680827305,11517.386088563171,13365.262370591352,14055.647388406345,13813.53435047742,15494.793526623796,0.0,0.8044838578861537,0.011123999999999998
