pattern,platform,scenario,latency_grade,reliability_grade,cost_grade,oversight_grade,overall_grade
P1,agentforce,S1,C,C,C,B,C
P1,agentforce,S2,B,C,C,B,C
P1,agentforce,S3,B,C,C,B,C
P1,bedrock,S1,C,C,C,B,C
P1,bedrock,S2,B,C,C,B,C
P1,bedrock,S3,B,C,C,B,C
P2,agentforce,S1,A,B,A,B,B
P2,agentforce,S2,B,B,C,B,C
P2,agentforce,S3,C,B,B,B,C
P2,bedrock,S1,A,B,A,B,B
P2,bedrock,S2,C,B,B,B,C
P2,bedrock,S3,B,B,B,B,B
P3,agentforce,S1,B,B,C,C,C
P3,agentforce,S2,B,B,B,C,B
P3,agentforce,S3,A,B,C,C,C
P3,bedrock,S1,B,C,C,C,C
P3,bedrock,S2,A,C,C,C,C
P3,bedrock,S3,A,C,C,C,C
P4,agentforce,S1,C,C,C,B,C
P4,agentforce,S2,C,C,C,B,C
P4,agentforce,S3,C,C,C,B,C
P4,bedrock,S1,C,C,C,B,C
P4,bedrock,S2,B,C,C,B,C
P4,bedrock,S3,C,C,C,B,C
P5,agentforce,S1,B,A,B,B,B
P5,agentforce,S2,A,A,A,B,A
P5,agentforce,S3,B,A,B,B,B
P5,bedrock,S1,B,B,B,B,B
P5,bedrock,S2,B,B,B,B,B
P5,bedrock,S3,B,B,B,B,B
P6,agentforce,S1,C,A,B,A,C
P6,agentforce,S2,C,A,A,A,C
P6,agentforce,S3,C,A,B,A,C
P6,bedrock,S1,C,B,B,A,C
P6,bedrock,S2,C,B,B,A,C
P6,bedrock,S3,C,B,B,A,C
P7,agentforce,S1,B,A,A,B,B
P7,agentforce,S2,B,A,A,B,B
P7,agentforce,S3,B,A,A,B,B
P7,bedrock,S1,B,A,A,B,B
P7,bedrock,S2,B,A,A,B,B
P7,bedrock,S3,B,A,A,B,B
